year,all-,all-high,all-college,all-bachelor,all-master,white-,white-high,white-college,white-bachelor,white-master,black-,black-high,black-college,black-bachelor,black-master,asian-,asian-high,asian-college,asian-bachelor,asian-master,hispanic-,hispanic-high,hispanic-college,hispanic-bachelor,hispanic-master
1978,53359,47807,61207,101595,121352,56515,50507,63090,102290,119133,33335,32673,42604,78086,93206,,,,,,41808,40792,53332,77423,102821
1977,51371,45819,59219,99607,119364,55091,49083,61666,100866,117709,31878,31216,41147,76629,91749,,,,,,40299,39283,51823,75914,101312
1976,51048,45496,58896,99284,119041,54565,48557,61140,100340,117183,31797,31135,41066,76548,91668,,,,,,38505,37489,50029,74120,99518
1975,50214,44662,58062,98450,118207,52908,46900,59483,98683,115526,31524,30862,40793,76275,91395,,,,,,37725,36709,49249,73340,98738
1974,51565,46013,59413,99801,119558,54388,48380,60963,100163,117006,32071,31409,41340,76822,91942,,,,,,41014,39998,52538,76629,102027
1973,53251,47699,61099,101487,121244,56301,50293,62876,102076,118919,32851,32189,42120,77602,92722,,,,,,41255,40239,52779,76870,102268
1972,52197,46645,60045,100433,120190,55540,49532,62115,101315,118158,31963,31301,41232,76714,91834,,,,,,41324,40308,52848,76939,102337
1971,50053,44501,57901,98289,118046,,,,,,30926,30264,40195,75677,90797,,,,,,,,,,
1970,50545,44993,58393,98781,118538,,,,,,32044,31382,41313,76795,91915,,,,,,,,,,
1969,50940,45388,58788,99176,118933,,,,,,32134,31472,41403,76885,92005,,,,,,,,,,
1968,49114,43562,56962,97350,117107,,,,,,30155,29493,39424,74906,90026,,,,,,,,,,
1967,47085,41533,54933,95321,115078,,,,,,28510,27848,37779,73261,88381,,,,,,,,,,
